Deal ID	Companies	Year Founded	Employees	Raised to Date	Announced Date	All Industries	Primary Industry Sector	Primary Industry Group	New Investors	Implied EV	Keywords	Verticals	Deal Size	Post Valuation	EBITDA	Valuation/EBITDA	Revenue	Valuation/Revenue	Net Income	Deal Date	Deal Type	Investors	Primary Industry Code	HQ Location	View Company Online
194088-79T	Cedar Poly	2007		0.15		Environmental Services (B2B)*	Business Products and Services (B2B)	Commercial Services		15.4	"plastic recycled composites, plastic recycler, recyclable materials, recycler of waste, renewable energy, renewable energy waste"	CleanTech	15.4	15.4			17.3	0.89		09-May-2022	Merger/Acquisition	DecKorators	Environmental Services (B2B)	"Tipton, IA"	
314855-29T	Celestial AI	2020		588.87	02-Dec-2025	"Automation/Workflow Software, Business/Productivity Software*, Other Hardware"	Information Technology	Software		3537.4	"ai infrastructure, artificial intelligence chips, data center, data management software, deep learning tool, hardware assembly, network computing, photonics platform"	"Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS"	3537.4	3537.4						02-Feb-2026	Merger/Acquisition	Marvell Technology (NAS: MRVL)(Matthew Murphy)	Business/Productivity Software	"Santa Clara, CA"	
195473-89T	Celfinet	2003				"IT Consulting and Outsourcing*, Telecommunications Service Providers"	Information Technology	IT Services		43.14	"engineering software solutions, engineering solution provider, mobile network service, mobile network service provider, network services, network services company, technical consultancy, telecom industry, telecommunication solutions"	"Industrials, Mobile, TMT"	43.14	43.14			20.22	2.13		06-Jun-2022	Merger/Acquisition	Cyient (NSE: CYIENT)(Ganesh Venkat Bodanapu)	IT Consulting and Outsourcing	"Lisbon, Portugal"	
252257-77T	Cell2Cure	2018		0.19		Biotechnology*	Healthcare	Pharmaceuticals and Biotechnology		19.57	"adipose tissue, allogeneic therapy, biotherapeutic company, immunosuppressive therapeutics, inflammation treatment, mesenchymal stem cells, mesenchymal stromal cell, regenerative therapy, stem cell therapy"	Life Sciences	10	19.61					-0.22	03-Jan-2024	Merger/Acquisition	Endeavour Invest(Anders Østergaard)	Biotechnology	"Birkerod, Denmark"	
187539-76T	Cellen	2019		1.31		"Clinics/Outpatient Services, Other Healthcare Services*, Other Healthcare Technology Systems"	Healthcare	Healthcare Services		12.35	"cannabis program, chronic pain management, chronic pain treatment, digital healthcare company, healthcare business, healthcare solutions company"	"Cannabis, LOHAS & Wellness"	12.35	12.35						29-Jun-2022	Merger/Acquisition	Akanda (NAS: AKAN)	Other Healthcare Services	"London, United Kingdom"	
249616-36T	CellmAbs Biopharmaceuticals	2019		2.27	09-Jan-2024	"Biotechnology, Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology		1000	"biopharmaceutical agency, cancer immunology, cancer oncology, cancer therapy, drug development study, drugs delivery"	"Life Sciences, Oncology"	1000	1000						18-Jul-2024	Merger/Acquisition	BioNTech (NAS: BNTX)	Drug Discovery	"Obidos, Portugal"	
196610-86T	CellPoint (Biotechnology)	2018				Other Healthcare Technology Systems*	Healthcare	Healthcare Technology Systems		132.77	"car-t therapy, cell engineering technology, hematological malignancies, hematological malignancies treatment, immune cell therapies, t-cell therapy"	Manufacturing	132.77	132.77						21-Jun-2022	Merger/Acquisition	Lakefront Biotherapeutics (AMS: LKFT)(Paulus Stoffels)	Other Healthcare Technology Systems	"Oegstgeest, Netherlands"	
193718-98T	Cellwize	2013		68.44	10-May-2022	"Automation/Workflow Software, Business/Productivity Software*, Other Communications and Networking"	Information Technology	Software		340	"cellular network optimization, it ops, mobile network, mobile network market, mobile network optimization, mobile networking tool, network automation, network optimization, network orchestration, networking software, radio access"	"Mobile, SaaS"	340	340						07-Jun-2022	Merger/Acquisition	Qualcomm (NAS: QCOM)	Business/Productivity Software	"Southlake, TX"	
265426-93T	Celsius Therapeutics	2018		148		"Biotechnology, Discovery Tools (Healthcare)*"	Healthcare	Pharmaceuticals and Biotechnology		250	"ai-powered drug discovery, autoimmune drugs, cancer therapy, drugs combinations, gene discovery, precision medicine, precision medicine company, rna sequencing"	"HealthTech, Life Sciences, Oncology"	250	250						27-Jun-2024	Merger/Acquisition	AbbVie (NYS: ABBV)	Discovery Tools (Healthcare)	"Cambridge, MA"	
336461-59T	Cemonite	2019		3.8		"Consulting Services (B2B), Environmental Services (B2B)*"	Business Products and Services (B2B)	Commercial Services		0.37	"built environment, carbon footprint sustainability, concrete items, construction material, green construction, reduce carbon footprint, sustainable concrete"	"CleanTech, Climate Tech, LOHAS & Wellness"	0.37	0.37						02-Mar-2026	Merger/Acquisition	Velde Industri	Environmental Services (B2B)	"Sola, Norway"	
193178-62T	Cend Therapeutics	2015		11.1	27-Apr-2022	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		10	"biologics, biotechnology company, nanoparticle technologies, peptides, peptides technology, protein, solid tumor, tissue penetration, tumor penetrating peptides"	"Life Sciences, Nanotechnology, Oncology"	10	10						15-Sep-2022	Merger/Acquisition	Lisata Therapeutics (NAS: LSTA)(David Slack)	Drug Discovery	"San Diego, CA"	
293760-55T	Census	2018		80.3		"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		100	"customer data platform, data management software, data sync software, data warehouse, enterprise resource planning, operational analytics platform"	"Big Data, SaaS"	100	100						01-May-2025	Merger/Acquisition	Fivetran	Business/Productivity Software	"San Francisco, CA"	
170832-79T	Centessa Pharmaceuticals	2019		552	21-Apr-2021	"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology			"biopharmaceutical firm, biopharmaceutical system, medicine development, medicine development company, medicine development services, pharmaceutical, pharmaceutical company"	Life Sciences	330	1748.49	-10.29	-170	0		-10.66	28-May-2021	IPO		Drug Discovery	"Altrincham, United Kingdom"	
326196-55T	Centessa Pharmaceuticals	2019		1364.5	31-Mar-2026	"Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology		6141.97	"biopharmaceutical firm, biopharmaceutical system, medicine development, medicine development company, medicine development services, pharmaceutical, pharmaceutical company"	Life Sciences	7800	7800	-254.89	-30.6	0		-250.64	24-Jun-2026	Merger/Acquisition	Lilly USA (NYS: LLY)(Carole Ho)	Drug Discovery	"Altrincham, United Kingdom"	
299753-02T	CentML	2022		30.92		"Business/Productivity Software*, Media and Information Services (B2B), Software Development Applications"	Information Technology	Software		400	"computer vision, deployment planning, gpu resources, llm training services, model serving, optimization platform, proprietary technology platform, system optimization"	"Artificial Intelligence & Machine Learning, SaaS"	400	400						13-Jun-2025	Merger/Acquisition	Nvidia (NAS: NVDA)	Business/Productivity Software	"Toronto, Canada"	
205145-29T	Centred.	2020	10	2.53		"Application Software*, Internet Retail, Other Services (B2C Non-Financial)"	Information Technology	Software		25	"consumer application, fintech saas, health insurance, saas, telemedicine, travel app, travel center, web3 platform"	"LOHAS & Wellness, TMT"	25	25						30-Sep-2022	Merger/Acquisition		Application Software	"Seattle, WA"	
173114-38T	Century Therapeutics (NAS: IPSC)	2018		666.04	28-May-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology			"autoimmune disease, cancer cell therapy, cancer drug therapy, cancer therapy product, cell therapy, drug discovery, ipsc, oncology drug developer, oncology drug discovery, stem cell"	"Life Sciences, Oncology"	211	1096.49	-59.51	-18.43	0		-62.25	18-Jun-2021	IPO		Drug Discovery	"Philadelphia, PA"	
188513-65T	Cepton	2016		68	05-Aug-2021	Electronic Equipment and Instruments*	Information Technology	Computer Hardware	Growth Capital Acquisition		"3d perception product, analytics platform software, autonomous driving, lidar scanner, lidar sensor, lidar system, lidar technology"	"Advanced Manufacturing, Industrials, Mobility Tech"	172.5	1541	-36.77	-41.91	4.5	342.29	-37.24	11-Feb-2022	Reverse Merger	Growth Capital Acquisition(George Syllantavos)	Electronic Equipment and Instruments	"San Jose, CA"	
248220-82T	Cepton	2016		226.5	29-Jul-2024	Electronic Equipment and Instruments*	Information Technology	Computer Hardware		3.35	"3d perception product, analytics platform software, autonomous driving, lidar scanner, lidar sensor, lidar system, lidar technology"	"Advanced Manufacturing, Industrials, Mobility Tech"	51	51	-25.83	-1.97	17.87	2.85	-25.61	07-Jan-2025	Merger/Acquisition	Koito Manufacturing (TKS: 7276)(Michiaki Kato)	Electronic Equipment and Instruments	"San Jose, CA"	
324085-24T	Cerebras Systems (NAS: CBRS)	2015		11005.5	07-Mar-2026	"Application Specific Semiconductors*, Computers, Parts and Peripherals, Systems and Information Management"	Information Technology	Semiconductors			"ai neocloud, autonomous driving, data center computing, deep learning chips, supercomputers platform, v2x processor"	"Advanced Manufacturing, Artificial Intelligence & Machine Learning, CloudTech & DevOps, Infrastructure, Manufacturing, SaaS"	6382.5	40627.91	279.19	145.52	603.89	67.28	247.69	14-May-2026	IPO		Application Specific Semiconductors	"Sunnyvale, CA"	
190461-34T	Ceres Technologies	2011			17-Mar-2022	"Application Specific Semiconductors*, Other Commercial Products"	Information Technology	Semiconductors		51	"manufacturing, photovoltaic equipment, process equipment, process equipment engineering, process equipment manufacturer, process equipment manufacturing, process equipment supplier, semiconductor equipment"	Manufacturing	51	51						20-Jun-2022	Merger/Acquisition	Atlas Copco (STO: ATCO A)(Geert Follens)	Application Specific Semiconductors	"Saugerties, NY"	
270620-83T	Ceribell (NAS: CBLL)	2014		352	26-Aug-2024	"Diagnostic Equipment*, Monitoring Equipment"	Healthcare	Healthcare Devices and Supplies			"critical care, inpatient care, neurodiagnostic equipment, neurological condition, neurological condition assessment, seizure detection device, seizure monitoring, seizures monitor"	"HealthTech, LOHAS & Wellness"	180.3	578.32	-33.14	-17.45	60.04	9.63	-36.15	11-Oct-2024	IPO		Diagnostic Equipment	"Sunnyvale, CA"	
183023-83T	Cernostics	2008		16.23	19-Oct-2021	Decision/Risk Analysis*	Healthcare	Healthcare Technology Systems		80.73	"cancer tissue analysis, digital imaging pathology, digital pathology, precision medicine, precision medicine diagnostics, spatial biology, tissue based diagnostic, tissue diagnostics"	"Life Sciences, Oncology, TMT"	80.73	80.73						03-Dec-2021	Merger/Acquisition	Castle Biosciences (NAS: CSTL)(Derek Maetzold)	Decision/Risk Analysis	"Pittsburgh, PA"	
225345-88T	CERo Therapeutics Holdings (OTCM: CERO)	2016		44.65	05-Jun-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	Phoenix Biotech Acquisition		"anti tumor therapy, cancer immunotherapy, cell therapy, cellular immunotherapy, cellular immunotherapy treatment, immune cells, immunotherapy drugs"	"Life Sciences, Oncology, TMT"	63	145	-9.78	-14.82	0		-10.75	07-Jun-2023	Reverse Merger	Phoenix Biotech Acquisition(Christopher Ehrlich)	Drug Discovery	"South San Francisco, CA"	
176989-78T	CertEurope	2000			22-Jul-2021	"IT Consulting and Outsourcing, Other Commercial Services*"	Business Products and Services (B2B)	Commercial Services		84.64	"certification authority, digital certificate, digital certification, digital certification services, electronic certificate, electronic certification"	TMT	50.79	84.64						03-Nov-2021	Merger/Acquisition	Tinexta Infocert(Pier Chevallard)	Other Commercial Services	"Paris, France"	
210538-00T	Cerus Endovascular	2011		37.29	01-Sep-2022	"Diagnostic Equipment, Therapeutic Devices*"	Healthcare	Healthcare Devices and Supplies		524.07	"delivery system, interventional neuroradiology devices, intracranial aneurysm, invasive devices, neurovascular catheter, neurovascular device, neurovascular therapy, neurovascular treatment, surgical equipment, surgical tools"	Life Sciences	525	525	-9.65	-54.38	7.48	70.19	-8.95	01-May-2023	Merger/Acquisition	Stryker (NYS: SYK)	Therapeutic Devices	"Oxford, United Kingdom"	
219464-11T	CervoMed (NAS: CRVO)	2014		52.42	30-Mar-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	Diffusion Pharmaceuticals		"alzheimer's disease treatment, brain disease treatment, central nervous system, central nervous system disease treatment, small molecule, synaptic drugs"	Life Sciences	22.2		-4.48		0		-4.37	16-Aug-2023	Reverse Merger	Diffusion Pharmaceuticals(Robert Cobuzzi)	Drug Discovery	"Boston, MA"	
182931-76T	CF Intercity (MAD: CITY)	2017		7.78		Educational and Training Services (B2C)*	Consumer Products and Services (B2C)	Services (Non-Financial)			"football camp, football fanclub, football training programmes, soccer games, soccer learning system"		6.45	12.89	-2.75	-4.69	0.26	48.95	-2.75	29-Oct-2021	IPO		Educational and Training Services (B2C)	"Alicante, Spain"	
248607-91T	CG Oncology (NAS: CGON)	2010		697.57	02-Jan-2024	"Biotechnology, Drug Discovery*, Pharmaceuticals"	Healthcare	Pharmaceuticals and Biotechnology			"anticancer therapy, biopharmaceutical company, biopharmaceutical company development, biopharmaceutical company operator, bladder cancer, emerging therapy, oncolytic agent, oncolytic immunotherapies developer, oncolytic virus, oncolytic virus therapy, pharmaceutical"	"Life Sciences, Oncology"	380	1206.17	-55.49	-21.74	0.2	5912.58	-48.61	25-Jan-2024	IPO		Drug Discovery	"Irvine, CA"	
184185-82T	Chaikin Analytics	2009		5.98		"Application Software, Business/Productivity Software*"	Information Technology	Software		7.93	"abi custom application, analysis platform, analytics platform, investment platform, investment tool, stock analysis, stock analytics, stock investing, stock research, stock research services, technical analysis, wealthtech"	"FinTech, Mobile"	7.14	7.93						21-Jan-2021	Merger/Acquisition	MarketWise (Media and Information Services) (NAS: MKTW)	Business/Productivity Software	"Radnor, PA"	
169012-09T	Chain Bridge I (OTCM: CBRRF)	2021		200	19-Mar-2021	Special Purpose Acquisition Company (SPAC)*	Financial Services	Other Financial Services			"acquisition company, acquisition company operator, blank check company, investment firm, merger firm, special purpose acquisition"		200	250			0		4.96	10-Nov-2021	IPO		Special Purpose Acquisition Company (SPAC)	"Dover, DE"	
265951-27T	Chainge (Logistics)	2019	60		01-Jul-2024	"Automotive, Logistics*, Road"	Business Products and Services (B2B)	Commercial Services		1.8	"cargo bikes, electric cargo, electric transportation, freight transport, green transportation, sustainable transportation, transportation goods, vehicle technology"	"Industrials, Infrastructure"	1.8	1.8	-16.87	-0.11	1.1	1.64		18-Jul-2024	Merger/Acquisition	MoveByBike Europe (SAT: MBBAB)(Lisette Hallström)	Logistics	"Frederiksberg, Denmark"	
303296-41T	Chairish	2013		73.89		"Application Software, Home Furnishings, Specialty Retail*"	Consumer Products and Services (B2C)	Retail		84	"customer care, furniture works, home decor, home furnishing, online marketplace, sustainable system"	"E-Commerce, Mobile Commerce"	84	84						04-Aug-2025	Merger/Acquisition	Auction Technology Group (LON: ATG)(John-Paul Savant)	Specialty Retail	"San Francisco, CA"	
193601-71T	Chalk (Canada)	2012		1.67		"Educational and Training Services (B2C), Educational Software*"	Information Technology	Software		13.5	"curriculum management, curriculum mapping, data driven education, digital curriculum, education management system, e-learning portal, learning application"	"EdTech, Mobile, SaaS, TMT"	13.5	13.5						02-May-2022	Merger/Acquisition	"PowerSchool Holdings(Hardeep Gulati), Vista Equity Partners"	Educational Software	"Kitchener, Canada"	
193622-32T	Champion Health	2018		0.52		"Business/Productivity Software*, Other Healthcare Technology Systems"	Information Technology	Software		3.21	"digital wellbeing platform, employee productivity solutions, employee welfare, employee wellness program, online physiotherapy program, workforce enhancement, workforce health management, workforce mental wellbeing"		3.21	3.21			2.75	1.17		06-May-2022	Merger/Acquisition	Physitrack (STO: PTRK)(Henrik Molin)	Business/Productivity Software	"Sheffield, United Kingdom"	
180923-77T	Champion Health (Sweden)	2009				Other Healthcare Technology Systems*	Healthcare	Healthcare Technology Systems		1.69	"clinical platform, health counselling, healthcare platform, occupational health services, occupational healthcare, physical testing services"	"Industrials, TMT"	1.74	1.74	0.28	6.11	1.75	0.99	0.22	30-Sep-2021	Merger/Acquisition	Physitrack (STO: PTRK)(Henrik Molin)	Other Healthcare Technology Systems	"Bastad, Sweden"	
172760-68T	Chargeback (Salt Lake City)	2010		18.43	25-May-2021	"Financial Software, Other Financial Services*"	Financial Services	Other Financial Services		65	"chargeback management system, crm, customer relationship management, data aggregating, dispute automation platform, dispute fraud, fraud detection suites, predictive gateway, transaction monitoring"	"Cybersecurity, FinTech, Mobile, SaaS, TMT"	65	65						01-Nov-2021	Merger/Acquisition	Sift(Marc Olesen)	Other Financial Services	"Salt Lake City, UT"	
156270-61T	ChargePoint (NYS: CHPT)	2007		712.19	24-Sep-2020	"Business/Productivity Software, Electrical Equipment*"	Business Products and Services (B2B)	Commercial Products	Switchback Energy Acquisition		"auto charging, charging network, charging port, charging station, climate tech company, electric vehicle, electric vehicle charging, electric vehicle charging infrastructure, ev charging, hybrid car service, mobility tech, plug-in station, scm, supply chain management"	"CleanTech, Climate Tech, Industrials, LOHAS & Wellness, Mobility Tech, SaaS, TMT"	317	3063	-183.81	-16.66	146.49	20.91	-197.02	26-Feb-2021	Reverse Merger	Switchback Energy Acquisition	Electrical Equipment	"Campbell, CA"	
167518-09T	Chartio	2010		8.03		Other Healthcare Technology Systems*	Healthcare	Healthcare Technology Systems		45.56	"business intelligence, data analytics, data and analytics tool, data exploration, data exploration service, data management software, data software & systems, data software and systems, data solutions, market intelligence"	"SaaS, TMT"	45.56	45.56						26-Feb-2021	Merger/Acquisition	Atlassian (NAS: TEAM)	Other Healthcare Technology Systems	"San Francisco, CA"	
171518-77T	Checkin.com Group (STO: CHECK)	2017		11.38	03-May-2021	Business/Productivity Software*	Information Technology	Software	"ES Aktiehandel, Knutsson Holdings, Norron Asset Management"		"data validation, forming submission platform, gdpr compliant, multilingual, multiplatform, online registration, registration services, registration tools, signup tools"		5.35	48.09	0.29	168.31	2.84	16.91	-0.02	20-May-2021	IPO	"Erik Selin(Erik Selin), ES Aktiehandel, Knutsson Holdings, Norron Asset Management, TIN Fonder"	Business/Productivity Software	"Stockholm, Sweden"	
192493-00T	Checkmate Pharmaceuticals	2015		250.08	19-Apr-2022	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		238.3	"cancer immunotherapy, cancer therapy, cancer treatment, drug development, immunotherapy service, melanoma therapy, small molecule"	"Life Sciences, Oncology"	250	298.33	-63.1	-4.73	0		-63.14	31-May-2022	Merger/Acquisition	Regeneron Pharmaceuticals (NAS: REGN)(Leonard Schleifer)	Drug Discovery	"Cambridge, MA"	
267303-34T	Checkme	2019		14.7		"Clinics/Outpatient Services*, Other Healthcare Technology Systems"	Healthcare	Healthcare Services		1.48	"health checkup, healthcare checkup, healthcare management, medical checkup, medical examination, medical tech"	"HealthTech, Mobile"	1.48	1.48						15-Jul-2024	Merger/Acquisition	Capital Life Insurance (Life and Health Insurance)	Clinics/Outpatient Services	"Moscow, Russia"	
268994-35T	Checkmyguest	2016		8.69		"Other Commercial Services, Real Estate Services (B2C)*"	Consumer Products and Services (B2C)	Services (Non-Financial)		27.52	"real estate services, real estate services and management, real estate services platform, rental management, rental management service, space optimization"	Real Estate Technology	27.52	27.52						29-Jul-2024	Merger/Acquisition	Oravel Stays	Real Estate Services (B2C)	"Paris, France"	
302749-21T	Checkout Charlie	2008				"Business/Productivity Software, Media and Information Services (B2B)*"	Business Products and Services (B2B)	Commercial Services		2.94	"consumer portal, cost saving, deal aggregation platform, digital marketing platform, marketing analytics, portal infrastructure"		7.54	7.54						18-Jul-2025	Merger/Acquisition	Solute (Information Services)	Media and Information Services (B2B)	"Berlin, Germany"	
298302-13T	Cheelcare	2015		3.92	24-Feb-2025	Other Healthcare*	Healthcare	Other Healthcare			"assistive device, connectivity data, medical device, mobility as a service, mobility device, robotics wheelchair, wheelchair, wheelchair mobility"	"Artificial Intelligence & Machine Learning, HealthTech, Manufacturing, Mobility Tech, Robotics and Drones"	7.89							14-Jul-2025	Reverse Merger	Departure Bay Capital	Other Healthcare	"Markham, Canada"	
197076-88T	ChemIntelligence	2019				"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		0.52	"artificial intelligence, chemistry platform, data analytics, research industry, research software, software developer"	"Artificial Intelligence & Machine Learning, SaaS"	0.52	0.52			0.14	3.66		28-Jun-2022	Merger/Acquisition	ChemAI(Mark Warne)	Business/Productivity Software	"Lyon, France"	
250980-85T	CHEQ (Kirkland)	2020		19.58		"Business/Productivity Software, Financial Software*, Other Hardware"	Information Technology	Software		4.84	"crm, customer relationship management, digital commerce, enterprise payment, food ordering app, food payment app, payment platform, pos, restaurant ordering, restaurant payment app, social payment platform"	"Artificial Intelligence & Machine Learning, FinTech, Mobile, Restaurant Technology"	4.84	4.84						01-Feb-2024	Merger/Acquisition	Cantaloupe (Malvern)	Financial Software	"Kirkland, WA"	
210600-37T	Cherry Xtrfy	2013	12			"Computers, Parts and Peripherals*"	Information Technology	Computer Hardware		5.06	"computer peripherals product, esports equipment, esports games, gaming accessories, gaming gear, gaming product, gaming spare parts"	Gaming	5.21	5.21	0.6	8.71	3.9	1.34	0.46	14-Dec-2022	Merger/Acquisition	"Cherry (Computers, Parts and Peripherals) (FRA: C3R)(Rolf Unterberger)"	"Computers, Parts and Peripherals"	"Landskrona, Sweden"	
189255-70T	Chevron Renewable Energy Group	2006	1196	1081.27	28-Feb-2022	Other Utilities*	Energy	Utilities		3014.19	"biodiesel fuel producer, biodiesel oil, biodiesel refinery development, biodiesel technology, biomass based diesel production, biomass refinery, biomass-based diesel, decarbonization services, renewable chemicals, sustainable fuel producer"	"CleanTech, Oil & Gas, TMT"	3150	3150	241.46	13.05	3640.3	0.87	187.07	13-Jun-2022	Merger/Acquisition	Chevron (NYS: CVX)(Michael Wirth)	Other Utilities	"Ames, IA"	
190580-41T	Childs Farm	2010		2.98		Personal Products*	Consumer Products and Services (B2C)	Consumer Non-Durables		56.93	"skincare brand, skincare product, toiletries manufacturer, toiletries producer, toiletries product, toiletries supplier"	E-Commerce	53.07	57.69	-1.09	-52.76	20.7	2.79	-1.37	21-Mar-2022	Merger/Acquisition	PZ Cussons (LON: PZC)(Jonathan Myers)	Personal Products	"Basingstoke, United Kingdom"	
259427-44T	Chime Financial (NAS: CHYM)	2012		3950.22	15-May-2024	"Financial Software*, Other Financial Services"	Information Technology	Software			"digital bank, digital banking, digital finance, financial empowerment, mobile banking, online banking application, seamless transactions"	"FinTech, Mobile, Mobile Commerce, SaaS"	993.6	9968.98	3.61	2761.49	1800.04	5.54	-28.31	12-Jun-2025	IPO		Financial Software	"San Francisco, CA"	
225775-72T	Chinook Therapeutics	2019		285.75	12-Jun-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		3002.84	"biotechnology, clinical treatment, dialysis treatment platform, drug development, drug discovery, drugs therapeutics"	Life Sciences	3300	3300	-234.96	-14.04	5.85	564.2	-245.65	11-Aug-2023	Merger/Acquisition	Novartis (SWX: NOVN)(Vasant Narasimhan)	Drug Discovery	"Seattle, WA"	
176470-57T	Chorus.ai	2015		100.3	21-Mar-2021	"Business/Productivity Software*, Communication Software, Media and Information Services (B2B)"	Information Technology	Software		547.4	"customer relationship management, decision making, natural language technology, sales management application, sales management platform, sales management software, sales software"	"Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT"	547.4	547.4						12-Jul-2021	Merger/Acquisition	ZoomInfo Technologies (NAS: GTM)(Henry Schuck)	Business/Productivity Software	"San Francisco, CA"	
280033-57T	Chroma Medicine	2020		262		Drug Discovery*	Healthcare	Pharmaceuticals and Biotechnology		75	"biotechnology research, drug discovery firm, epigenetics drugs, gene editor, gene therapy, genomic medicine, genomic medicine developer, medicine developer"	Life Sciences	75	75						04-Dec-2024	Merger/Acquisition	nChroma Bio	Drug Discovery	"Boston, MA"	
166230-19T	Chrome Holding	2006		873.18	04-Feb-2021	"Biotechnology, Laboratory Services (Healthcare)*, Other Devices and Supplies"	Healthcare	Healthcare Services	VG Acquisition		"digital care management, genetic data, genetic information, genetic research instrument, genetic technology, genetic testing, health risk management, personal genomics"	"Digital Health, Life Sciences, LOHAS & Wellness"	592	4068	-165.77	-24.54	243.92	16.68	-183.62	10-Jun-2021	Reverse Merger	VG Acquisition(Evan Lovell)	Laboratory Services (Healthcare)	"Palo Alto, CA"	
289368-64T	Chrome Holding	2006		35	13-Jun-2025	"Biotechnology, Laboratory Services (Healthcare)*, Other Devices and Supplies"	Healthcare	Healthcare Services		302.69	"digital care management, genetic data, genetic information, genetic research instrument, genetic technology, genetic testing, health risk management, personal genomics"	"Digital Health, Life Sciences, LOHAS & Wellness"	368.43	368.43	-199.07	-1.85	174.9	2.11	-235.31	14-Jul-2025	Merger/Acquisition	"Regeneron Pharmaceuticals (NAS: REGN), TTAM Research Institute"	Laboratory Services (Healthcare)	"Palo Alto, CA"	
254822-41T	Chronos Therapeutics	2009		25.75		"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		0.65	"aging disease, clinical research, drug develop services, drug screening, nerve treatment, therapeutic drug"	Life Sciences	0.66	0.66						05-Apr-2024	Merger/Acquisition	TheraCryf (LON: TCF)(Huw Jones)	Drug Discovery	"Oxford, United Kingdom"	
313647-40T	Chronosphere	2019		410	19-Nov-2025	"Business/Productivity Software*, Media and Information Services (B2B)"	Information Technology	Software		2951	"cloud monitoring platform, data infrastructure, data quality tools, infrastructure monitoring, observability platform, saas monitoring system"	"Artificial Intelligence & Machine Learning, CloudTech & DevOps, SaaS"	2951	2951						29-Jan-2026	Merger/Acquisition	Palo Alto Networks (NAS: PANW)(Nikesh Arora)	Business/Productivity Software	"New York, NY"	
313073-11T	Cidara Therapeutics	2012		999.55	14-Nov-2025	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		6079.75	"antibody engineering, anti-infective product, biopharmaceutical, biotechnology company, biotechnology company operator, biotechnology firm, immune modulation, peptide drug"	Life Sciences	9200	9200	-195.41	-47.08	0		-184.74	07-Jan-2026	Merger/Acquisition	Merck & Co. (NYS: MRK)(Robert Davis)	Drug Discovery	"San Diego, CA"	
225890-38T	CiiTECH	2017		3.18		Other Pharmaceuticals and Biotechnology*	Healthcare	Pharmaceuticals and Biotechnology		0.26	"cannabis formulation, cannabis research, clinical research, drug development, health wellness, medical cannabis"	"Cannabis, HealthTech, LOHAS & Wellness"	0.26	0.26						03-Apr-2023	Merger/Acquisition	Tenacious Labs(Adrian Clarke)	Other Pharmaceuticals and Biotechnology	"London, United Kingdom"	
262538-74T	Cinclus Pharma (STO: CINPHA)	2014		130.68	10-Jun-2024	Drug Discovery*	Healthcare	Pharmaceuticals and Biotechnology	"Aerix Family Offices AB, Attendium, LoWil Invest, Postamemtet holding ab, Tradite Invest, Utbildningscentret For Yrkestrafik, zoft capital AB"		"chemistry, drug development company, drug discovery company, drug discovery product, gastroesophageal reflux, pharma company operator, reflux disease, small molecule"	Life Sciences	74.55	192.04	-17.62	-10.9	0.28	689.93	-19.13	19-Jun-2024	IPO	"Aerix Family Offices AB, Attendium, Eir Ventures, Fjärde AP-fonden, Irrus Investments, LoWil Invest, Postamemtet holding ab, Tradite Invest, Trill Impact(Nina Rawal), Utbildningscentret For Yrkestrafik, zoft capital AB"	Drug Discovery	"Stockholm, Sweden"	
185365-54T	CinCor Pharma	2018		386.46	17-Dec-2021	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology	Sands Capital		"antihypertensive and cholesterol-lowering, biopharmaceutical company, biopharmaceuticals, cardiovascular treatment, chemistry, cvrm, immunology, oncology, rare diseases, small molecule"	Life Sciences	193.6	584.31	-50.39	-11.6	0		-50.37	07-Jan-2022	IPO	Sands Capital	Drug Discovery	"Waltham, MA"	
212420-44T	CinCor Pharma	2018		533.46	08-Jan-2023	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		615.38	"antihypertensive and cholesterol-lowering, biopharmaceutical company, biopharmaceuticals, cardiovascular treatment, chemistry, cvrm, immunology, oncology, rare diseases, small molecule"	Life Sciences	1764	1764	-89.7	-19.66	0		-88.09	24-Feb-2023	Merger/Acquisition	AstraZeneca (LON: AZN)(Menelas Pangalos)	Drug Discovery	"Waltham, MA"	
